franchise,releases,totalGross,titles,original
Kingsman Franchise,3,265667744,Kingsman: The Secret Service > 02-13-2015 | Kingsman: The Golden Circle > 09-22-2017 | The King's Man > 12-22-2021,Kingsman: The Secret Service > 02-13-2015
Resident Evil,6,271274006,Resident Evil: Afterlife > 09-10-2010 | Resident Evil: Apocalypse > 09-10-2004 | Resident Evil: Extinction > 09-21-2007 | Resident Evil: Retribution > 09-14-2012 | Resident Evil > 03-15-2002 | Resident Evil: The Final Chapter > 01-27-2017,Resident Evil > 03-15-2002
Daddy's Home,2,254386580,Daddy's Home > 12-25-2015 | Daddy's Home 2 > 11-10-2017,Daddy's Home > 12-25-2015
Rio,2,275158244,Rio > 04-15-2011 | Rio 2 > 04-11-2014,Rio > 04-15-2011
Mad Max,5,289760271,Mad Max: Fury Road > 05-15-2015 | Furiosa: A Mad Max Saga > 05-24-2024 | Mad Max Beyond Thunderdome > 07-12-1985 | Mad Max 2: The Road Warrior > 05-21-1982 | Mad Max > 03-21-1980,Mad Max > 03-21-1980
Vacation,5,277368247,National Lampoon's Christmas Vacation > 12-01-1989 | Vacation > 07-29-1983 | Vacation > 07-29-2015 | National Lampoon's European Vacation > 07-26-1985 | Vegas Vacation > 02-14-1997,Vacation > 07-29-1983
Grown Ups,2,295669711,Grown Ups > 06-25-2010 | Grown Ups 2 > 07-12-2013,Grown Ups > 06-25-2010
Equalizer,3,295988851,The Equalizer 2 > 07-20-2018 | The Equalizer > 09-26-2014 | The Equalizer 3 > 09-01-2023,The Equalizer > 09-26-2014
Pokemon,6,293134648,Pokémon: Detective Pikachu > 05-10-2019 | Pokémon: The First Movie - Mewtwo Strikes Back > 11-10-1999 | Pokémon the Movie 2000 > 07-21-2000 | Pokémon 3 the Movie: Spell of the Unown > 04-06-2001 | Pokemon 4Ever: Celebi - Voice of the Forest > 10-11-2002 | Pokémon Heroes > 05-16-2003,Pokémon: The First Movie - Mewtwo Strikes Back > 11-10-1999
G.I. Joe,3,300988883,G.I. Joe: The Rise of Cobra > 08-07-2009 | G.I. Joe: Retaliation > 03-28-2013 | Snake Eyes > 07-23-2021,G.I. Joe: The Rise of Cobra > 08-07-2009
My Big Fat Greek Wedding,2,301127813,My Big Fat Greek Wedding > 04-19-2002 | My Big Fat Greek Wedding 2 > 03-25-2016,My Big Fat Greek Wedding > 04-19-2002
Crocodile Dundee,3,309745398,Crocodile Dundee > 09-26-1986 | Crocodile Dundee II > 05-25-1988 | Crocodile Dundee in Los Angeles > 04-20-2001,Crocodile Dundee > 09-26-1986
300,2,317194990,300 > 03-09-2007 | 300: Rise of an Empire > 03-07-2014,300 > 03-09-2007
The Purge,5,329677280,The Purge: Election Year > 07-01-2016 | The Purge: Anarchy > 07-18-2014 | The First Purge > 07-04-2018 | The Purge > 06-07-2013 | The Forever Purge > 07-02-2021,The Purge > 06-07-2013
Rambo,5,338917404,Rambo: First Blood Part II > 05-22-1985 | Rambo III > 05-25-1988 | First Blood > 10-22-1982 | Rambo: Last Blood > 09-20-2019 | Rambo > 01-25-2008,First Blood > 10-22-1982
Jump Street,2,330167004,22 Jump Street > 06-13-2014 | 21 Jump Street > 03-16-2012,21 Jump Street > 03-16-2012
Ted,2,300291872,Ted > 06-29-2012 | Ted 2 > 06-26-2015,Ted > 06-29-2012
Sonic the Hedgehog,2,339847569,Sonic the Hedgehog 2 > 04-08-2022 | Sonic the Hedgehog > 02-14-2020,Sonic the Hedgehog > 02-14-2020
The Muppets,8,339990009,The Muppets > 11-23-2011 | The Muppet Movie > 06-22-1979 | Muppets Most Wanted > 03-21-2014 | Muppet Treasure Island > 02-16-1996 | The Great Muppet Caper > 06-26-1981 | The Muppet Christmas Carol > 12-11-1992 | The Muppets Take Manhattan > 07-13-1984 | Muppets from Space > 07-14-1999,The Muppet Movie > 06-22-1979
Fantastic Four,3,342735366,Fantastic Four > 07-08-2005 | Fantastic Four: Rise of the Silver Surfer > 06-15-2007 | Fantastic Four > 08-07-2015,Fantastic Four > 07-08-2005
Spy Kids,4,348865600,Spy Kids > 03-30-2001 | Spy Kids 3: Game Over > 07-25-2003 | Spy Kids 2: Island of Lost Dreams > 08-07-2002 | Spy Kids 4: All the Time in the World > 08-19-2011,Spy Kids > 03-30-2001
Pitch Perfect Trilogy,3,354194853,Pitch Perfect 2 > 05-15-2015 | Pitch Perfect 3 > 12-22-2017 | Pitch Perfect > 09-28-2012,Pitch Perfect > 09-28-2012
Divergent,3,347311018,Divergent > 03-21-2014 | The Divergent Series: Insurgent > 03-20-2015 | Allegiant > 03-18-2016,Divergent > 03-21-2014
Unbreakable,3,344351172,Split > 01-20-2017 | Glass > 01-18-2019 | Unbreakable > 11-22-2000,Unbreakable > 11-22-2000
Jackass,4,356266735,Jackass 3D > 10-15-2010 | Jackass Presents: Bad Grandpa > 10-25-2013 | Jackass Number Two > 09-22-2006 | Jackass: The Movie > 10-25-2002,Jackass: The Movie > 10-25-2002
The Santa Clause,3,368569806,The Santa Clause > 11-11-1994 | The Santa Clause 2 > 11-01-2002 | The Santa Clause 3: The Escape Clause > 11-03-2006,The Santa Clause > 11-11-1994
Taken,3,374111700,Taken > 01-30-2009 | Taken 2 > 10-05-2012 | Taken 3 > 01-09-2015,Taken > 01-30-2009
Robert Langdon,3,385255558,The Da Vinci Code > 05-19-2006 | Angels & Demons > 05-15-2009 | Inferno > 10-28-2016,The Da Vinci Code > 05-19-2006
